UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Predicted_Failure,Failure_Probability
340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure,0,0.000106243
341,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure,0,0.0033553408
342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure,0,0.000626831
343,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure,0,0.001969267
344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure,0,0.0051004863
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure,0,0.04632924
346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure,0,0.00023218333
347,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure,0,0.0020566767
348,L47527,L,297.5,308.3,1544,40.8,37,0,No Failure,0,0.000697305
349,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure,0,0.00022381058
350,L47529,L,297.6,308.3,1595,34.3,41,0,No Failure,0,0.00030273548
351,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure,0,0.0052467375
352,M15211,M,297.6,308.4,1611,31.0,48,0,No Failure,0,0.00057585357
353,M15212,M,297.6,308.4,1507,46.0,51,0,No Failure,0,0.00084320497
354,H29767,H,297.5,308.3,1674,30.0,54,0,No Failure,0,0.00054572354
355,L47534,L,297.6,308.3,1658,34.3,59,0,No Failure,0,0.0002992692
356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure,0,0.0004072698
357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure,0,0.0038022108
358,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure,0,0.000524942
359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure,0,0.0008031337
360,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure,0,0.0004540787
361,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure,0,0.000989782
362,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure,0,0.00054431
363,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure,0,0.0006727643
364,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure,0,0.010347901
365,L47544,L,297.6,308.4,1407,55.2,86,0,No Failure,0,0.0033525848
366,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure,0,0.004295301
367,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure,0,0.00067027356
368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure,0,0.0007678805
369,L47548,L,297.5,308.4,1489,39.5,96,0,No Failure,0,0.0008120737
370,H29783,H,297.5,308.4,1587,36.1,98,0,No Failure,0,0.0006989434
371,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure,0,0.00058481377
372,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure,0,0.00074771116
373,M15232,M,297.4,308.3,1405,51.7,108,0,No Failure,0,0.0030189424
374,L47553,L,297.4,308.3,1412,42.0,111,0,No Failure,0,0.001403753
375,L47554,L,297.4,308.3,1431,43.0,113,0,No Failure,0,0.0017280105
376,L47555,L,297.4,308.2,1533,37.4,115,0,No Failure,0,0.00141299
377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure,0,0.0033783012
378,M15237,M,297.4,308.2,1424,53.9,120,0,No Failure,0,0.007242151
379,L47558,L,297.3,308.2,1754,29.4,123,0,No Failure,0,0.00060531567
380,L47559,L,297.3,308.2,1754,26.8,125,0,No Failure,0,0.0006108796
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure,1,0.9721923
382,L47561,L,297.5,308.5,1546,40.4,129,0,No Failure,0,0.0009063727
383,L47562,L,297.5,308.5,1335,48.0,131,0,No Failure,0,0.003591481
384,M15243,M,297.5,308.6,1842,27.0,133,0,No Failure,0,0.00041291225
385,L47564,L,297.5,308.5,1712,26.8,136,0,No Failure,0,0.00059307273
386,M15245,M,297.6,308.6,1414,45.4,138,0,No Failure,0,0.0029379786
387,L47566,L,297.6,308.7,1319,50.9,141,0,No Failure,0,0.000678711
388,L47567,L,297.7,308.7,1249,60.4,143,0,No Failure,0,0.0024869863
389,L47568,L,297.6,308.7,1455,48.2,145,0,No Failure,0,0.003906421
390,M15249,M,297.6,308.7,1408,54.8,147,0,No Failure,0,0.0028356141
391,L47570,L,297.6,308.7,1460,46.7,150,0,No Failure,0,0.0017339546
392,L47571,L,297.6,308.6,1491,38.1,152,0,No Failure,0,0.0031546135
393,M15252,M,297.6,308.5,1490,43.4,154,0,No Failure,0,0.0009888522
394,M15253,M,297.5,308.4,1350,52.2,157,0,No Failure,0,0.0023360937
395,L47574,L,297.5,308.4,1528,39.9,160,0,No Failure,0,0.0019516746
396,L47575,L,297.4,308.3,1571,37.7,162,0,No Failure,0,0.0050312276
397,L47576,L,297.4,308.3,1490,42.6,164,0,No Failure,0,0.0012118206
398,M15257,M,297.4,308.3,1774,28.9,166,0,No Failure,0,0.011270813
399,H29812,H,297.4,308.3,1502,43.6,169,0,No Failure,0,0.0010002885
400,L47579,L,297.4,308.4,1392,49.7,174,0,No Failure,0,0.003621424
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure,0,0.0051268656
402,L47581,L,297.5,308.5,1722,30.4,178,0,No Failure,0,0.001386629
403,L47582,L,297.4,308.6,1678,32.3,180,0,No Failure,0,0.0011725014
404,L47583,L,297.3,308.6,1273,59.8,182,0,No Failure,0,0.016242657
405,L47584,L,297.3,308.6,1297,45.9,184,0,No Failure,0,0.0014572622
406,L47585,L,297.3,308.5,1350,57.6,186,0,No Failure,0,0.08060093
407,L47586,L,297.4,308.6,1439,51.9,188,0,No Failure,0,0.0036475689
408,M15267,M,297.4,308.5,1600,42.1,190,0,No Failure,0,0.00043371893
409,M15268,M,297.4,308.6,1434,44.4,193,0,No Failure,0,0.003989382
410,L47589,L,297.4,308.6,1459,41.3,196,0,No Failure,0,0.0013211847
411,M15270,M,297.5,308.6,1472,44.9,198,0,No Failure,0,0.0016643116
412,L47591,L,297.5,308.7,1429,44.3,201,0,No Failure,0,0.0022318752
413,L47592,L,297.5,308.6,1388,48.2,203,0,No Failure,0,0.090720855
414,L47593,L,297.4,308.4,1573,34.5,205,0,No Failure,0,0.33821154
415,L47594,L,297.4,308.4,1588,32.5,207,0,No Failure,0,0.15713364
416,L47595,L,297.5,308.4,1511,42.8,209,0,No Failure,0,0.09226473
417,L47596,L,297.4,308.5,1495,37.8,211,0,No Failure,0,0.49156502
418,L47597,L,297.4,308.4,1394,50.1,213,0,No Failure,1,0.6026975
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure,0,0.0003617316
420,M15279,M,297.3,308.3,1501,38.2,2,0,No Failure,0,0.0005478776
421,M15280,M,297.3,308.3,1301,39.6,5,0,No Failure,0,0.00088022667
422,M15281,M,297.3,308.3,1657,31.1,8,0,No Failure,0,0.00012607218
423,L47602,L,297.3,308.3,1333,55.2,11,0,No Failure,0,0.002151035
424,L47603,L,297.3,308.3,1484,43.9,13,0,No Failure,0,0.00025333455
425,L47604,L,297.3,308.4,1430,45.7,15,0,No Failure,0,0.0042509865
426,M15285,M,297.3,308.4,1665,28.9,17,0,No Failure,0,0.003810148
427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure,0,0.0046605216
428,M15287,M,297.5,308.5,1496,42.2,22,0,No Failure,0,0.00044968995
429,M15288,M,297.6,308.6,1595,36.9,25,0,No Failure,0,0.00030629622
430,L47609,L,297.5,308.6,1208,62.3,28,0,No Failure,0,0.03043181
431,L47610,L,297.5,308.6,1596,37.1,30,0,No Failure,0,0.00030629622
432,L47611,L,297.5,308.5,1446,41.9,32,0,No Failure,0,0.0011298443
433,M15292,M,297.6,308.5,1466,39.7,34,0,No Failure,0,0.0011180887
434,M15293,M,297.6,308.5,1848,23.7,37,0,No Failure,0,0.00028872836
435,M15294,M,297.5,308.5,1484,44.7,40,0,No Failure,0,0.0014703716
436,L47615,L,297.4,308.3,1493,41.2,43,0,No Failure,0,0.0010277325
437,L47616,L,297.3,308.3,1504,36.3,45,0,No Failure,0,0.0010487625
438,L47617,L,297.3,308.3,1538,38.5,47,0,No Failure,0,0.0012924223
439,L47618,L,297.4,308.4,1341,52.2,49,0,No Failure,0,0.0024644416
440,M15299,M,297.4,308.3,1535,34.6,51,0,No Failure,0,0.0005315543
441,L47620,L,297.4,308.5,1389,39.2,54,0,No Failure,0,0.0024982865
442,H29855,H,297.5,308.5,1393,46.6,56,0,No Failure,0,0.0044501917
443,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure,1,0.9714955
444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure,0,0.0025650274
445,L47624,L,297.4,308.4,1582,37.2,68,0,No Failure,0,0.00051783584
446,L47625,L,297.5,308.6,1793,26.7,70,0,No Failure,0,0.00029564125
447,L47626,L,297.5,308.6,1452,39.0,72,0,No Failure,0,0.001365775
448,M15307,M,297.6,308.7,1376,59.9,74,0,No Failure,0,0.006396529
449,L47628,L,297.5,308.6,1552,44.9,77,0,No Failure,0,0.0016157182
450,L47629,L,297.6,308.7,1622,37.9,79,0,No Failure,0,0.00075410877
451,M15310,M,297.6,308.7,1419,41.7,81,0,No Failure,0,0.0020873575
452,H29865,H,297.5,308.6,1440,46.1,84,0,No Failure,0,0.003755419
453,M15312,M,297.4,308.6,1643,31.0,89,0,No Failure,0,0.0005800359
454,L47633,L,297.4,308.7,1510,36.2,92,0,No Failure,0,0.00073291495
455,L47634,L,297.4,308.7,1468,46.6,94,0,No Failure,0,0.0014259864
456,L47635,L,297.4,308.7,1429,57.4,96,0,No Failure,0,0.03212772
457,H29870,H,297.3,308.7,1478,47.6,98,0,No Failure,0,0.0021700354
458,L47637,L,297.4,308.6,1276,53.6,103,0,No Failure,0,0.0009271239
459,L47638,L,297.3,308.6,1486,42.6,105,0,No Failure,0,0.0007518571
460,L47639,L,297.4,308.6,1476,42.3,107,0,No Failure,0,0.0006683946
461,H29874,H,297.3,308.6,1431,42.0,109,0,No Failure,0,0.0013312737
462,L47641,L,297.4,308.7,1402,40.2,114,0,No Failure,0,0.0017802936
463,L47642,L,297.4,308.7,1433,43.4,116,0,No Failure,0,0.0013016335
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure,1,0.97575563
465,L47644,L,297.3,308.6,1511,35.7,120,0,No Failure,0,0.0017721358
466,M15325,M,297.3,308.6,1456,42.9,122,0,No Failure,0,0.0005276773
467,L47646,L,297.2,308.5,1550,41.5,125,0,No Failure,0,0.0009002275
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure,0,0.0052124085
469,L47648,L,297.3,308.7,1619,31.6,129,0,No Failure,0,0.00036954804
470,M15329,M,297.3,308.8,1586,32.7,131,0,No Failure,0,0.00038337073
471,H29884,H,297.3,308.8,1499,44.2,134,0,No Failure,0,0.0007229842
472,H29885,H,297.3,308.8,1419,42.4,139,0,No Failure,0,0.0013818633
473,M15332,M,297.4,309.0,1497,41.8,144,0,No Failure,0,0.0009826097
474,M15333,M,297.4,309.0,1520,37.0,147,0,No Failure,0,0.0021673434
475,L47654,L,297.4,309.1,1478,49.8,150,0,No Failure,0,0.0029598537
476,L47655,L,297.4,309.1,1380,41.1,152,0,No Failure,0,0.0015593168
477,L47656,L,297.4,309.0,1570,37.9,154,0,No Failure,0,0.0035478028
478,H29891,H,297.4,309.0,1468,41.4,156,0,No Failure,0,0.0015737594
479,L47658,L,297.4,309.0,1833,22.6,161,0,No Failure,0,0.0019493725
480,M15339,M,297.4,308.9,1323,57.3,163,0,No Failure,0,0.005275488
481,L47660,L,297.4,309.0,1583,32.0,166,0,No Failure,0,0.00075865345
482,M15341,M,297.3,309.0,1556,39.5,168,0,No Failure,0,0.0017558811
483,L47662,L,297.3,309.0,1548,37.4,171,0,No Failure,0,0.0023680136
484,L47663,L,297.4,309.0,1324,56.9,173,0,No Failure,0,0.004684223
485,L47664,L,297.4,309.0,1568,33.7,175,0,No Failure,0,0.0013836286
486,M15345,M,297.4,309.0,1685,30.7,177,0,No Failure,0,0.0026006275
487,M15346,M,297.4,309.1,1582,35.9,180,0,No Failure,0,0.002512546
488,M15347,M,297.4,309.1,1463,35.0,183,0,No Failure,0,0.0017409091
489,L47668,L,297.4,309.2,1584,42.8,186,0,No Failure,0,0.00089739327
490,M15349,M,297.5,309.2,1347,55.8,188,0,No Failure,0,0.0052749347
491,L47670,L,297.4,309.2,1459,37.9,191,0,No Failure,0,0.0054875906
492,L47671,L,297.4,309.2,1420,45.6,193,0,No Failure,0,0.014604494
493,L47672,L,297.5,309.3,1404,43.5,195,0,No Failure,0,0.0017208658
494,L47673,L,297.5,309.3,1470,38.8,197,0,No Failure,0,0.0021096605
495,L47674,L,297.6,309.4,1326,49.8,199,0,No Failure,0,0.06994004
496,H29909,H,297.5,309.3,1459,49.7,201,0,No Failure,0,0.0029002316
497,M15356,M,297.5,309.2,1530,40.0,206,0,No Failure,0,0.14288741
498,L47677,L,297.4,309.0,1505,39.2,209,0,No Failure,0,0.14668158
499,L47678,L,297.5,309.1,1611,30.2,211,0,No Failure,0,0.059197985
500,L47679,L,297.5,309.1,1515,35.1,213,0,No Failure,0,0.13367143
501,M15360,M,297.5,309.2,1804,27.4,215,0,No Failure,0,0.045015194
502,M15361,M,297.6,309.3,1464,46.2,218,0,No Failure,0,0.20203651
503,L47682,L,297.6,309.2,1390,43.3,221,0,No Failure,0,0.012780631
504,M15363,M,297.6,309.2,1442,48.1,0,0,No Failure,0,0.009916137
505,M15364,M,297.6,309.3,1529,41.9,3,0,No Failure,0,0.0002731083
506,L47685,L,297.6,309.3,1610,35.0,6,0,No Failure,0,0.00029829214
507,L47686,L,297.6,309.3,1543,34.3,8,0,No Failure,0,0.00034099323
508,H29921,H,297.8,309.4,1445,48.2,10,0,No Failure,0,0.0048086005
509,L47688,L,297.7,309.3,1893,24.6,15,0,No Failure,0,0.0005466864
510,M15369,M,297.6,309.3,1415,41.3,17,0,No Failure,0,0.0017178409
511,L47690,L,297.5,309.3,1564,37.5,20,0,No Failure,0,0.0037344373
512,L47691,L,297.5,309.3,1479,39.4,22,0,No Failure,0,0.0019236992
513,L47692,L,297.5,309.2,1426,44.8,24,0,No Failure,0,0.02397228
514,L47693,L,297.4,309.2,1428,38.8,26,0,No Failure,0,0.0066323793
515,L47694,L,297.4,309.2,1620,33.2,28,0,No Failure,0,0.00068237673
516,L47695,L,297.5,309.2,1715,28.0,30,0,No Failure,0,0.00096215575
517,L47696,L,297.5,309.3,1732,29.9,32,0,No Failure,0,0.00065363647
518,M15377,M,297.5,309.4,1391,58.2,34,0,No Failure,0,0.08900271
519,L47698,L,297.6,309.5,1924,20.6,37,0,No Failure,0,0.0020756293
520,M15379,M,297.7,309.5,2027,19.8,39,0,No Failure,0,0.0019419566
521,L47700,L,297.6,309.5,1617,36.2,42,0,No Failure,0,0.00062539824
522,L47701,L,297.5,309.4,1497,35.8,44,0,No Failure,0,0.0020155062
523,M15382,M,297.5,309.5,1448,43.7,46,0,No Failure,0,0.001492229
524,L47703,L,297.4,309.4,1401,45.9,49,0,No Failure,0,0.009952977
525,L47704,L,297.4,309.4,1620,35.4,51,0,No Failure,0,0.0010081644
526,L47705,L,297.4,309.4,1466,45.5,53,0,No Failure,0,0.0029818136
527,L47706,L,297.6,309.5,1373,50.6,55,0,No Failure,0,0.0035460568
528,M15387,M,297.6,309.6,1592,35.8,57,0,No Failure,0,0.0007261532
529,M15388,M,297.5,309.5,1553,42.4,60,0,No Failure,0,0.00082875683
530,L47709,L,297.6,309.5,1569,36.2,63,0,No Failure,0,0.0010943818
531,M15390,M,297.6,309.5,1709,32.2,65,0,No Failure,0,0.00045627548
532,L47711,L,297.6,309.5,1549,34.9,68,0,No Failure,0,0.0010346145
533,L47712,L,297.5,309.4,1443,45.4,70,0,No Failure,0,0.0058045983
534,L47713,L,297.5,309.3,1675,29.8,72,0,No Failure,0,0.0011874733
535,L47714,L,297.5,309.3,1623,33.4,74,0,No Failure,0,0.00048807295
536,H29949,H,297.4,309.3,1365,52.4,76,0,No Failure,0,0.0046605617
537,L47716,L,297.4,309.3,1759,24.8,81,0,No Failure,0,0.0010547894
538,H29951,H,297.4,309.3,1516,43.0,83,0,No Failure,0,0.00076488254
539,M15398,M,297.4,309.3,1499,36.8,88,0,No Failure,0,0.0012293251
540,M15399,M,297.4,309.3,1775,25.8,91,0,No Failure,0,0.0010547894
541,L47720,L,297.4,309.4,1473,45.5,94,0,No Failure,0,0.0034067042
542,L47721,L,297.4,309.4,1296,52.3,96,0,No Failure,0,0.0015546461
543,L47722,L,297.5,309.4,1803,24.7,98,0,No Failure,0,0.0012227771
544,H29957,H,297.5,309.3,1563,36.1,100,0,No Failure,0,0.0015197919
545,M15404,M,297.5,309.4,1831,26.6,105,0,No Failure,0,0.0012227771
546,L47725,L,297.6,309.4,1958,22.1,108,0,No Failure,0,0.0028699436
547,L47726,L,297.5,309.4,1809,24.3,110,0,No Failure,0,0.0012227771
548,M15407,M,297.5,309.4,1482,39.3,112,0,No Failure,0,0.002368241
549,L47728,L,297.4,309.3,1332,53.2,115,0,No Failure,0,0.0038504314
550,L47729,L,297.4,309.2,1437,40.4,117,0,No Failure,0,0.0042618657
551,L47730,L,297.4,309.2,1698,29.4,119,0,No Failure,0,0.0015594104
552,L47731,L,297.4,309.2,1274,54.3,121,0,No Failure,0,0.0016566648
553,M15412,M,297.4,309.3,1622,35.0,123,0,No Failure,0,0.0011431822
554,M15413,M,297.4,309.3,1564,36.0,126,0,No Failure,0,0.0016762877
555,H29968,H,297.5,309.4,1368,45.3,129,0,No Failure,0,0.005724547
556,M15415,M,297.4,309.4,1539,42.2,134,0,No Failure,0,0.001167197
557,L47736,L,297.5,309.4,1357,50.1,137,0,No Failure,0,0.0031672358
558,M15417,M,297.5,309.4,1433,48.3,139,0,No Failure,0,0.009877398
559,L47738,L,297.5,309.4,1650,34.6,142,0,No Failure,0,0.00072377553
560,L47739,L,297.5,309.4,1503,40.6,144,0,No Failure,0,0.0018455444
561,L47740,L,297.5,309.4,1318,58.2,146,0,No Failure,0,0.0047066524
562,M15421,M,297.5,309.4,1678,34.4,148,0,No Failure,0,0.0020760964
563,L47742,L,297.6,309.5,1574,30.9,151,0,No Failure,0,0.0062480653
564,L47743,L,297.7,309.6,1529,35.2,153,0,No Failure,0,0.005031929
565,H29978,H,297.6,309.6,1669,32.1,155,0,No Failure,0,0.0013958878
566,H29979,H,297.7,309.7,1570,35.8,160,0,No Failure,0,0.0049696765
567,M15426,M,297.6,309.7,1541,33.7,165,0,No Failure,0,0.0030311418
568,M15427,M,297.7,309.7,1680,30.2,168,0,No Failure,0,0.0038830414
569,L47748,L,297.8,309.7,1935,22.1,171,0,No Failure,0,0.0076464997
570,M15429,M,297.7,309.6,1596,35.2,173,0,No Failure,0,0.002427667
571,L47750,L,297.7,309.7,1498,41.0,176,0,No Failure,0,0.0048273066
572,M15431,M,297.8,309.8,1676,29.0,178,0,No Failure,0,0.07345494
573,L47752,L,297.8,309.9,1351,49.0,181,0,No Failure,0,0.0061559845
574,L47753,L,297.9,309.9,1472,45.0,183,0,No Failure,0,0.0053754635
575,M15434,M,297.9,310.0,1439,41.7,185,0,No Failure,0,0.0069550993
576,M15435,M,297.9,309.9,1410,55.4,188,0,No Failure,0,0.010203939
577,H29990,H,297.7,309.7,1440,51.1,191,0,No Failure,0,0.008026021
578,L47757,L,297.7,309.7,1591,37.7,196,0,No Failure,0,0.0020109804
579,L47758,L,297.8,309.8,1533,36.8,198,0,No Failure,0,0.0027426942
580,M15439,M,297.8,309.7,1700,31.3,200,0,No Failure,0,0.00084704946
581,M15440,M,297.8,309.8,1798,25.5,203,0,No Failure,0,0.024550969
582,L47761,L,297.8,309.7,1394,42.9,206,0,No Failure,0,0.029069277
583,L47762,L,297.8,309.7,1341,49.2,208,0,No Failure,0,0.30193213
584,H29997,H,297.7,309.6,1697,32.2,210,0,No Failure,0,0.03293454
585,H29998,H,297.6,309.6,1419,48.2,215,0,No Failure,0,0.3996743
586,L47765,L,297.6,309.5,2001,20.5,220,0,No Failure,0,0.23984481
587,L47766,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure,1,0.9608004
588,H30001,H,297.6,309.5,1623,33.1,224,0,No Failure,0,0.04572194
589,L47768,L,297.6,309.4,1628,33.4,229,0,No Failure,0,0.15810187
590,L47769,L,297.6,309.4,1491,40.2,231,0,No Failure,0,0.049327895
591,L47770,L,297.5,309.4,1517,36.7,233,0,No Failure,0,0.027636051
592,H30005,H,297.5,309.3,1525,41.7,235,0,No Failure,0,0.0071132537
593,H30006,H,297.5,309.5,1668,27.9,240,0,No Failure,0,0.05120706
594,L47773,L,297.5,309.6,1312,50.7,0,0,No Failure,0,0.0021291936
595,H30008,H,297.6,309.6,1278,50.4,2,0,No Failure,0,0.0014509624
596,M15455,M,297.6,309.6,1330,53.1,7,0,No Failure,0,0.0032102421
597,M15456,M,297.6,309.6,1530,37.3,10,0,No Failure,0,0.0004859957
598,H30011,H,297.6,309.6,1428,46.6,13,0,No Failure,0,0.009762972
599,L47778,L,297.7,309.6,1480,47.9,18,0,No Failure,0,0.0015096097
600,H30013,H,297.7,309.7,1616,31.1,20,0,No Failure,0,0.0009067282
601,L47780,L,297.8,309.7,1547,37.3,25,0,No Failure,0,0.0011550323
602,L47781,L,297.9,309.7,2194,16.8,27,0,No Failure,0,0.014383788
603,L47782,L,297.9,309.8,2000,21.3,29,0,No Failure,0,0.0019032358
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure,1,0.9986179
605,L47784,L,297.9,309.9,1542,33.8,33,0,No Failure,0,0.0011313253
606,M15465,M,297.9,309.8,1693,29.9,35,0,No Failure,0,0.0012767427
607,L47786,L,297.9,309.8,1461,50.5,38,0,No Failure,0,0.0028505886
608,M15467,M,298.0,309.9,1565,33.9,40,0,No Failure,0,0.0016632361
609,L47788,L,298.0,309.9,1403,47.7,43,0,No Failure,0,0.023224384
610,L47789,L,298.1,309.9,1629,32.5,45,0,No Failure,0,0.0006472579
611,L47790,L,298.1,310.0,1534,33.7,47,0,No Failure,0,0.001098743
612,L47791,L,298.1,310.0,1553,40.9,49,0,No Failure,0,0.0010961964
613,L47792,L,298.1,309.9,1563,32.8,51,0,No Failure,0,0.0010913959
614,L47793,L,298.1,309.9,1634,30.0,53,0,No Failure,0,0.001414855
615,M15474,M,298.0,309.9,1445,45.2,55,0,No Failure,0,0.015073471
616,L47795,L,298.1,309.9,1642,30.4,58,0,No Failure,0,0.001414855
617,H30030,H,298.1,309.9,1686,29.1,60,0,No Failure,0,0.021089822
618,M15477,M,298.1,310.0,1393,43.1,65,0,No Failure,0,0.0033052613
619,H30032,H,298.2,310.0,1433,44.2,68,0,No Failure,0,0.003736842
620,L47799,L,298.3,310.0,1507,44.7,73,0,No Failure,0,0.00245658
621,M15480,M,298.3,310.1,1389,49.6,75,0,No Failure,0,0.010329518
622,L47801,L,298.3,310.1,1408,45.3,78,0,No Failure,0,0.015584379
623,M15482,M,298.4,310.2,1725,32.0,80,0,No Failure,0,0.0005345596
624,L47803,L,298.4,310.1,1926,23.7,83,0,No Failure,0,0.0071731145
625,H30038,H,298.3,310.1,1509,37.6,85,0,No Failure,0,0.0021111208
626,L47805,L,298.3,310.1,1545,36.3,90,0,No Failure,0,0.0012497897
627,L47806,L,298.4,310.1,1533,35.2,92,0,No Failure,0,0.0026339553
628,L47807,L,298.4,310.1,1455,42.2,94,0,No Failure,0,0.005202441
629,M15488,M,298.4,310.1,1335,57.8,96,0,No Failure,0,0.06642405
630,L47809,L,298.3,310.1,1523,45.9,99,0,No Failure,0,0.003053372
631,L47810,L,298.3,310.0,1460,47.6,101,0,No Failure,0,0.002917152
632,L47811,L,298.4,310.0,1554,37.3,103,0,No Failure,0,0.0031001007
633,H30046,H,298.3,310.0,1419,47.1,105,0,No Failure,0,0.017573548
634,L47813,L,298.3,310.0,1442,43.9,110,0,No Failure,0,0.002617732
635,L47814,L,298.3,309.9,1507,41.6,112,0,No Failure,0,0.0022304952
636,L47815,L,298.3,310.0,1858,23.9,114,0,No Failure,0,0.0015404777
637,L47816,L,298.3,309.9,1463,43.9,116,0,No Failure,0,0.0011608525
638,L47817,L,298.2,309.7,1585,37.4,118,0,No Failure,0,0.0011778084
639,L47818,L,298.0,309.6,1536,37.3,120,0,No Failure,0,0.002205195
640,L47819,L,298.0,309.6,1403,51.3,122,0,No Failure,0,0.0061616525
641,M15500,M,297.9,309.6,1515,38.8,124,0,No Failure,0,0.0024348975
642,L47821,L,297.9,309.5,1390,47.9,127,0,No Failure,0,0.008466497
643,M15502,M,297.8,309.4,1226,58.7,129,0,No Failure,0,0.0026143927
644,M15503,M,297.8,309.4,1495,36.5,132,0,No Failure,0,0.0017208944
645,H30058,H,297.7,309.4,1608,30.2,135,0,No Failure,0,0.0015352733
646,L47825,L,297.7,309.4,1392,44.1,140,0,No Failure,0,0.0018243516
647,M15506,M,297.7,309.4,1461,43.7,142,0,No Failure,0,0.0008998459
648,L47827,L,297.7,309.3,1559,36.9,145,0,No Failure,0,0.00950041
649,H30062,H,297.7,309.3,1400,48.9,147,0,No Failure,0,0.0045250733
650,M15509,M,297.7,309.2,1732,28.8,152,0,No Failure,0,0.0035115583
651,L47830,L,297.6,309.2,1611,33.1,155,0,No Failure,0,0.0018826105
652,L47831,L,297.6,309.1,1503,38.9,157,0,No Failure,0,0.0034813257
653,L47832,L,297.7,309.2,1391,44.5,159,0,No Failure,0,0.0060894676
654,L47833,L,297.8,309.3,2015,20.1,161,0,No Failure,0,0.0070830416
655,L47834,L,297.8,309.2,1683,30.9,163,0,No Failure,0,0.0041149464
656,L47835,L,297.7,309.1,1435,38.8,165,0,No Failure,0,0.0019249878
657,M15516,M,297.7,309.1,1732,28.1,167,0,No Failure,0,0.0015178517
658,L47837,L,297.7,309.2,1365,58.6,170,0,No Failure,0,0.0059048994
659,L47838,L,297.7,309.1,1562,36.8,172,0,No Failure,0,0.0015303487
660,L47839,L,297.6,309.1,1449,49.1,174,0,No Failure,0,0.0021764683
661,M15520,M,297.7,309.2,1700,27.4,176,0,No Failure,0,0.005835959
662,M15521,M,297.6,309.0,1427,45.6,179,0,No Failure,0,0.0040647676
663,M15522,M,297.6,308.9,1479,38.1,182,0,No Failure,0,0.0035558527
664,L47843,L,297.5,308.9,1469,44.0,185,0,No Failure,0,0.0006642517
665,L47844,L,297.5,308.9,1390,47.4,187,0,No Failure,0,0.005075513
666,L47845,L,297.5,308.9,1729,28.1,189,0,No Failure,0,0.0011354218
667,L47846,L,297.5,309.0,1470,43.5,191,0,No Failure,0,0.0005014942
668,L47847,L,297.5,308.9,1459,48.5,193,0,No Failure,0,0.0016601131
669,L47848,L,297.5,308.9,1738,24.0,195,0,No Failure,0,0.0011354218
